SISTEMA	ADM         	ORGAO         	SALARIO
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.400,75 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.400,75 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.309,39 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.866,80 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.309,39 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.690,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 10.655,01 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.601,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.316,30 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.264,30 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.575,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.018,30 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.373,80 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.925,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 9.062,03 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.671,22 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.105,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 9.062,03 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.600,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.600,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 5.525,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.900,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 8.125,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.575,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.225,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.625,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 10.487,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.550,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.500,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.300,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.515,80 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.522,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.755,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.671,22 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.515,80 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.787,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.515,80 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.139,80 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.120,30 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.548,30 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.378,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.755,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.722,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.722,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.087,80 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.522,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.722,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 529,70 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.879,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.087,80 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.722,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.722,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.879,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.755,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.722,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.671,22 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.397,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.925,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.625,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.397,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 975,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.417,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.417,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.417,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.017,25 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.300,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.170,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.300,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.275,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.300,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.500,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.105,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.225,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.145,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.950,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.145,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 585,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.275,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.145,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.007,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.950,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 975,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.950,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.430,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.145,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 9.062,03 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.145,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.600,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.560,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.628,25 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 715,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.625,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.250,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.235,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 715,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.145,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 975,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.625,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.145,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 650,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.145,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.365,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 5.204,29 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.007,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.982,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 975,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.300,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.365,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.982,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.482,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 975,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.235,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.690,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.015,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.235,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.671,22 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.210,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 5.967,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.527,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 8.305,65 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.742,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.322,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 975,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.657,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.235,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 975,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.120,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.697,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 7.897,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.235,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.015,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 812,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.365,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.854,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 5.236,74 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.365,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.489,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.161,25 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 4.667,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.612,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.015,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.697,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.690,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 6.711,95 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.040,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.417,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.007,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.430,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.007,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 10.776,86 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.430,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.475,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.665,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.235,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.446,25 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 7.572,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.449,98 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.430,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.332,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 2.717,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.654,25 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 3.367,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.976,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.397,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.235,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.397,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 910,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.982,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.722,50 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.235,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 845,00 
SIGRH  	ADM.DIRETA  	CASA CIVIL    	 1.430,00 
