SISTEMA	DEPTO	SETOR         	SALARIO
RH  	DEPT.RH	SETOR_D	1.105,00
RH  	DEPT.RH	SETOR_D	1.105,00
RH  	DEPT.RH	SETOR_D	1.004,25
RH  	DEPT.RH	SETOR_D	1.202,50
RH  	DEPT.RH	SETOR_D	1.872,00
RH  	DEPT.RH	SETOR_D	1.199,25
RH  	DEPT.RH	SETOR_D	1.066,00
RH  	DEPT.RH	SETOR_D	1.072,50
RH  	DEPT.RH	SETOR_D	1.872,00
RH  	DEPT.RH	SETOR_D	1.885,00
RH  	DEPT.RH	SETOR_D	1.495,00
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	2.912,00
RH  	DEPT.RH	SETOR_D	3.627,00
RH  	DEPT.RH	SETOR_D	1.199,25
RH  	DEPT.RH	SETOR_D	8.786,26
RH  	DEPT.RH	SETOR_D	2.600,00
RH  	DEPT.RH	SETOR_D	1.852,50
RH  	DEPT.RH	SETOR_D	1.001,00
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	5.200,00
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	2.289,30
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	1.690,00
RH  	DEPT.RH	SETOR_D	1.820,00
RH  	DEPT.RH	SETOR_D	1.443,00
RH  	DEPT.RH	SETOR_D	1.430,00
RH  	DEPT.RH	SETOR_D	2.600,00
RH  	DEPT.RH	SETOR_D	1.085,50
RH  	DEPT.RH	SETOR_D	1.105,00
RH  	DEPT.RH	SETOR_D	1.105,00
RH  	DEPT.RH	SETOR_D	5.200,00
RH  	DEPT.RH	SETOR_D	2.275,00
RH  	DEPT.RH	SETOR_D	3.250,00
RH  	DEPT.RH	SETOR_D	1.287,00
RH  	DEPT.RH	SETOR_D	1.950,00
RH  	DEPT.RH	SETOR_D	2.925,00
RH  	DEPT.RH	SETOR_D	1.105,00
RH  	DEPT.RH	SETOR_D	1.170,00
RH  	DEPT.RH	SETOR_D	1.495,00
RH  	DEPT.RH	SETOR_D	1.625,00
RH  	DEPT.RH	SETOR_D	1.625,00
RH  	DEPT.RH	SETOR_D	3.250,00
RH  	DEPT.RH	SETOR_D	2.080,00
RH  	DEPT.RH	SETOR_D	3.250,00
RH  	DEPT.RH	SETOR_D	910
RH  	DEPT.RH	SETOR_F	975
RH  	DEPT.RH	SETOR_F	910
RH  	DEPT.RH	SETOR_F	1.010,75
RH  	DEPT.RH	SETOR_F	975
RH  	DEPT.RH	SETOR_F	2.600,00
RH  	DEPT.RH	SETOR_F	975
RH  	DEPT.RH	SETOR_F	2.437,50
RH  	DEPT.RH	SETOR_F	3.510,00
RH  	DEPT.RH	SETOR_F	2.275,00
RH  	DEPT.RH	SETOR_F	1.105,00
RH  	DEPT.RH	SETOR_F	2.600,00
RH  	DEPT.RH	SETOR_F	5.200,00
RH  	DEPT.RH	SETOR_F	3.575,00
RH  	DEPT.RH	SETOR_F	2.600,00
RH  	DEPT.RH	SETOR_F	3.900,00
RH  	DEPT.RH	SETOR_F	3.250,00
RH  	DEPT.RH	SETOR_F	6.175,00
RH  	DEPT.RH	SETOR_F	1.300,00
RH  	DEPT.RH	SETOR_F	6.175,00
RH  	DEPT.RH	SETOR_F	3.900,00
RH  	DEPT.RH	SETOR_F	3.380,00
RH  	DEPT.RH	SETOR_F	2.015,00
RH  	DEPT.RH	SETOR_F	10.257,44
RH  	DEPT.RH	SETOR_F	7.090,79
RH  	DEPT.RH	SETOR_F	2.730,00
RH  	DEPT.RH	SETOR_F	1.820,00
RH  	DEPT.RH	SETOR_F	10.257,44
RH  	DEPT.RH	SETOR_F	3.055,00
RH  	DEPT.RH	SETOR_F	1.105,00
RH  	DEPT.RH	SETOR_F	2.600,00
RH  	DEPT.RH	SETOR_F	5.915,00
RH  	DEPT.RH	SETOR_F	1.105,00
RH  	DEPT.RH	SETOR_F	1.690,00
